Key,Description,en,it
GBU-38 Bomb x3_fullName,Full equip name of: GBU-38 Bomb x3,GBU-38 Bomb x3,GBU-38 Bomba x3
GBU-38 Bomb x3_description,Item description of: GBU-38 Bomb x3,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,Bomba a guida GPS da 500lb. è una Mk.82 con un pacchetto di guida installato.
eqSublabel_GPS-BOMB,HUD sub-label of an equip,GPS BOMB,BOMBA GPS
gpsBomb_targetMode,"An option for GPS bombs' targeting mode (auto, manual, dumb)",TARGET MODE,MODALITA' BERSAGLIO
gpsBomb_autoRelRate,An option for GPS bomb's automatic release rate (shortened to fit UI space).,AUTO REL RATE,RATEO AUTO REL
s_gbu_mode_0,Targeting mode label for GPS bomb,MANUAL,MANUALE
s_gbu_mode_1,Targeting mode label for GPS bomb,AUTO,AUTO
s_gbu_mode_2,Targeting mode label for GPS bomb,DUMB,DUMB
interactable_button_grip,,Grip,Presa
interactable_button_trigger,,Trigger,Grilletto
vehicleConfig_denyBusy,Denial message for vehicle configurator,BUSY: RELOADING,OCCUPATO: RICARICANDO
vehicleConfig_invalidReload,Denial message for vehicle configurator,Full reload will be over budget!,La piena ricarica sarà fuori budget!
vehicleConfig_totalMass,,Total mass:,Massa totale:
vehicleConfig_fuelKnob,,Set fuel,Imposta benzina
vehicleConfig_flightCost,,Flight cost:,Costo volo:
vehicleConfig_budget,,Budget:,Budget:
vehicleConfig_countermeasures,,Countermeasures,Contromisure
vehicleConfig_flareLabel,,IR Flares,IR Flares
vehicleConfig_flareKnob,,Set flares,Imposta Flares
vehicleConfig_chaffLabel,,ECM Chaff,ECM Chaff
vehicleConfig_chaffKnob,,Set chaff,Imposta Chaff
vehicleConfig_repairButton,,Repair,Ripara
vehicleConfig_repairButtonText,,Repair,Ripara
vehicleConfig_repairCostLabel,,Repair cost:,Costo riparazioni:
vehicleConfig_equipMass,,Mass:,Massa:
vehicleConfig_hardpoint,,Hardpoint,Piloni
vehicleConfig_none,,None,Nessuno
vehicleConfig_saveLoad,,Save/load,Salva/Carica
vehicleConfig_backButton,Return to previous screen,Back,Indietro
equipConfig_noEquips,A label shown in the vehicle configurator when there are no available equipment.,No equipment.,Nessun equipaggiamento.
equipConfig_noEquipsDescription,A more descriptive label shown when there is no equipment available.,Equipment for this hardpoint is not yet available.,Equipaggiamento per questo pilone non disponibile.
vehicleConfig_equipCost,,Cost:,Costo:
vehicleConfig_count,,Count:,Conto:
vehicleConfig_fuel,,FUEL,BENZINA
vehicleConfig_equipButton,Equip the selected item,Equip,Equipaggia
vehicleConfig_detachButton,Detach the current item,Detach,Stacca
vehicleConfig_previous,,Previous,Precedente
vehicleConfig_next,,Next,Prossimo
vehicleConfig_availableEquipment,,"Available
equipment","Equipaggiamento
disponibile"
vehicleConfig_scroll,,Scroll,Scorri
vehicleConfig_symmetry,,Symmetry,Simmetria
vehicleConfig_symmetryButton,,Toggle symmetry,Attiva/Disattiva simmetria
vehicleConfig_load,,Load,Carica
vehicleConfig_save,,Save,Salva
vehicleConfig_saveNew,,Save new...,Salva nuovo...
vehicleConfig_overwrite,,Overwrite,Sovrascrivi
vehicleConfig_delete,,Delete,Elimina
500L Fuel Drop Tank_fullName,Full equip name of: 500L Fuel Drop Tank,500L Fuel Drop Tank,Tanica 500L
500L Fuel Drop Tank_description,Item description of: 500L Fuel Drop Tank,A 500 liter fuel tank.,Una tanica di 500L di benzina.
AIM-9E Sidewinder x2_fullName,Full equip name of: AIM-9E Sidewinder x2,AIM-9E Sidewinder x2,AIM-9E Sidewinder x2
AIM-9E Sidewinder x2_description,Item description of: AIM-9E Sidewinder x2,"A rack of two AIM-9E. An older short range, rear-aspect, heat seeking air to air missile.","Un Pilone di 2 AIM-9E. Un vecchio rear- aspect, a corto raggio missile a ricerca di calore."
eqSublabel_IR,HUD sub-label of an equip,IR,IR
ON,,ON,ON
OFF,,OFF,OFF
irml_seekMode,Option title for IR missiles' heat-seeking mode,SEEK MODE,MODALITA' RICERCA
irml_trigUncage,"Option title for IR missiles' seeker to be uncaged by the trigger (trigger uncage, shortened for UI space).",TRIG UNCAGE,TRIG UNCAGE
s_seekerMode_0,Label for heatseeker mode,Caged,Caged
s_seekerMode_1,Label for heatseeker mode,Uncaged,Uncaged
s_seekerMode_2,Label for heatseeker mode,Vertical Scan,Scan Verticale
s_seekerMode_3,Label for heatseeker mode,Head Track,Traccia Testa
s_seekerMode_4,Label for heatseeker mode,Hard Lock,Lock Duro
Hydra-70 x19 Rocket Pod_fullName,Full equip name of: Hydra-70 x19 Rocket Pod,Hydra-70 x19 Rocket Pod,Hydra-70 x19 Rocket Pod
Hydra-70 x19 Rocket Pod_description,Item description of: Hydra-70 x19 Rocket Pod,"A pod carrying a total of 19 high explosive rockets.  Can be fired in single shot mode, or rapid fire (ripple).","Un pod che porta 19 razzi altamente esplosivi. Possono essere sparati singoli, o a fuoco rapido (ripple)."
eqSublabel_ROCKET,HUD sub-label of an equip,ROCKET,RAZZO
s_rocket_salvo,Rocket launcher salvo option,SALVO,SALVA
M62 Vulcan 20mm_fullName,Full equip name of: M62 Vulcan 20mm,M62 Vulcan 20mm,M62 Vulcan 20mm
M62 Vulcan 20mm_description,Item description of: M62 Vulcan 20mm,A modern 20mm rotary cannon.,Un moderno 20mm a canne rotanti.
eqSublabel_CANNON,HUD sub-label of an equip,CANNON,CANNONE
ASF-SRM x2_fullName,Full equip name of: ASF-SRM x2,ASF-SRM x2,ASF-SRM x2
ASF-SRM x2_description,Item description of: ASF-SRM x2,A rack of two standard heat-seeking anti-air missiles.,Un pilone di due missili anti-aria a ricerca di calore standard.
RG25 Twin Revolving Cannons_fullName,Full equip name of: RG25 Twin Revolving Cannons,RG25 Twin Revolving Cannons,RG25 Twin Revolving Cannons
RG25 Twin Revolving Cannons_description,Item description of: RG25 Twin Revolving Cannons,Twin 25mm revolving cannons.,Doppi cannoni rotanti da 25mm
AIM-7 SARH Missile_fullName,Full equip name of: AIM-7 SARH Missile,AIM-7 SARH Missile,AIM-7 SARH Missile
AIM-7 SARH Missile_description,Item description of: AIM-7 SARH Missile,An older semi-active radar guided medium range air to air missile. The missile requires a radar lock from launch until impact.,Un vecchio missile aria-aria a ricerca radar semi-attiva. Il missile richiede il lock costante dal lancio all'impatto.
eqSublabel_SARH-AAM,HUD sub-label of an equip,SARH AAM,SARH AAM
WR-25 Rocket Pod_fullName,Full equip name of: WR-25 Rocket Pod,WR-25 Rocket Pod,WR-25 Rocket Pod
WR-25 Rocket Pod_description,Item description of: WR-25 Rocket Pod,A hexagonal pod carrying 25 unguided rockets.,Un pod exagonale di 25 razzi non guidati.
ASMRM-7 x1_fullName,Full equip name of: ASMRM-7 x1,ASMRM-7 x1,ASMRM-7 x1
ASMRM-7 x1_description,Item description of: ASMRM-7 x1,Medium range radar guided air to air missile.,"Missile aria-aria a guida radar, medio raggio."
Mk-82 Bomb x3_fullName,Full equip name of: Mk-82 Bomb x3,Mk-82 Bomb x3,Mk-82 Bomb x3
Mk-82 Bomb x3_description,Item description of: Mk-82 Bomb x3,Standard un-guided 500lb bombs.,Bomba standard non guidata da 500lb.
eqSublabel_BOMB,HUD sub-label of an equip,BOMB,BOMBA
bombRack_releaseArea,An option for bomb weapons - how wide of a target area to automatically release bombs in.,RELEASE AREA,AREA RILASCIO
SALVO,,SALVO,SALVA
bomb_lowG,"HUD label shown when aircraft is under low or negative g-forces, preventing bomb release.","LOW G
NO RELEASE","LOW G
NO RILASCIO"
s_ccrpAuto,,CCRP AUTO,CCRP AUTO
AIRS-T Advanced SRM x2_fullName,Full equip name of: AIRS-T Advanced SRM x2,AIRS-T Advanced SRM x2,AIRS-T Advanced SRM x2
AIRS-T Advanced SRM x2_description,Item description of: AIRS-T Advanced SRM x2,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.
Advanced technology allows it to intercept incoming missiles.","Missile aria-aria a ricerca di calore a corto raggio con thrust vectoring, migliore manovrabilità, raggio, e sistema di contro-contromisure.
La tecnologia avanzata gli permette di intercettare i missili in arrivo."
Conformal Fuel Tank_fullName,Full equip name of: Conformal Fuel Tank,Conformal Fuel Tank,Conformal Fuel Tank
Conformal Fuel Tank_description,Item description of: Conformal Fuel Tank,A modification that allows the aircraft to hold an extra 6400L of fuel.,Una modifica che permette al velivolo di tenere un extra di 6400L di benzina
AGM-88 ARM_fullName,Full equip name of: AGM-88 ARM,AGM-88 ARM,AGM-88 ARM
AGM-88 ARM_description,Item description of: AGM-88 ARM,Medium range anti-radiation missile.,Missile anti-radiazione a medio raggio
eqSublabel_ARM,HUD sub-label of an equip,ARM,ARM
AGM-65 x3_fullName,Full equip name of: AGM-65 x3,AGM-65 x3,AGM-65 x3
AGM-65 x3_description,Item description of: AGM-65 x3,"A medium range optically guided ""fire-and-forget"" anti-tank missile.","Un missile anticarro a guida ottica ""spara-e-dimentica"" a medio raggio."
eqSublabel_OPTICAL-FF,HUD sub-label of an equip,OPTICAL FF,OPTICAL FF
AUTO,,AUTO,AUTO
MANUAL,,MANUAL,MANUAL
oml_uncageMode,Option title for optical missiles' seeker uncage mode (unlocking from the forward aiming position).,UNCAGE MODE,UNCAGE MODE
oml_noTgp,Optical AGM is selected but there is no TGP attached,NO TGP,NO TGP
AN/AAQ-28 Targeting Pod_fullName,Full equip name of: AN/AAQ-28 Targeting Pod,AN/AAQ-28 Targeting Pod,AN/AAQ-28 Targeting Pod
AN/AAQ-28 Targeting Pod_description,Item description of: AN/AAQ-28 Targeting Pod,Sensor pod for acquiring and tracking targets using optics and lasers.  A necessary component for certain guided missiles.,Pod sensore per acquisire e tracciare bersagli usando ottiche e laser. Necessario per alcuni missili guidati.
GAU-22 Redeemer 25mm_fullName,Full equip name of: GAU-22 Redeemer 25mm,GAU-22 Redeemer 25mm,GAU-22 Redeemer 25mm
GAU-22 Redeemer 25mm_description,Item description of: GAU-22 Redeemer 25mm,"A 4-barrel 25mm rotary cannon.
Rate of fire: 3300 RPM","Un cannone a 4 canne rotanti da 25mm.
Rateo di fuoco: 3300 RPM"
MK-82AIR x32_fullName,Full equip name of: MK-82AIR x32,MK-82AIR x32,Mk-82AIR x32
MK-82AIR x32_description,Item description of: MK-82AIR x32,A rack of 32 MK-82AIR high drag bombs.,Un pilone di 32 MK-82AIR di bombe ad alta resistenza.
GBU-12 Laser Guided Bomb_fullName,Full equip name of: GBU-12 Laser Guided Bomb,GBU-12 Laser Guided Bomb,GBU-12 Laser Guided Bomb
GBU-12 Laser Guided Bomb_description,Item description of: GBU-12 Laser Guided Bomb,A 500lb laser guided bomb.,Una bomba a guida laser da 500lb
eqSublabel_LASER-BOMB,HUD sub-label of an equip,LASER BOMB,BOMBA LASER
lgb_targetMode,Option title for laser guided bombs' targeting mode.,TARGET MODE,MODALITA' BERSAGLIO
s_LOAL,Lock on after launch HUD label for laser bomb,LOAL,LOAL
s_lgbMode_0,Laser guided bomb targeting mode,LASER,LASER
s_lgbMode_1,Laser guided bomb targeting mode,DUMB,DUMB
AGM-65_fullName,Full equip name of: AGM-65,AGM-65,AGM-65
AGM-65_description,Item description of: AGM-65,"A medium range optically guided ""fire-and-forget"" anti-tank missile.","Missile anticarro a medio raggio a guida ottica ""spara-e-dimentica""."
CBU-97 Bomb x1_fullName,Full equip name of: CBU-97 Bomb x1,CBU-97 Bomb x1,CBU-97 Bomb x1
CBU-97 Bomb x1_description,Item description of: CBU-97 Bomb x1,A smart cluster bomb that fires 40 explosively shaped armor penetrators at targets.,Una bomba a grappolo intelligente che spara 40 esplosivi anticarro ai bersagli.
eqSublabel_CLUSTER-BOMB,HUD sub-label of an equip,CLUSTER BOMB,BOMBA A GRAPPOLO
s_cbuAlt,HUD when below submunition deploy altitude of cluster bomb,BELOW CBU ALT,SOTTO CBU ALT
M230 Chain Gun_fullName,Full equip name of: M230 Chain Gun,M230 Chain Gun,M230 Chain Gun
M230 Chain Gun_description,Item description of: M230 Chain Gun,A single-barrel 30mm automatic cannon mounted on a gimbal. The gimbal will be locked forward above a certain airspeed.,"Un cannone automatico montato su un giroscopio da 30mm.
Il giroscopio sarà bloccato sopra una certa velocità."
eqSublabel_CANNON-GIMBAL,HUD sub-label of an equip,CANNON GIMBAL,CANNONE GIROSCOPICO
gunTurret_locked,Label for when a gun turret is set to be locked in the forward-aiming position.,LOCKED,BLOCCATO
gunTurret_slaved,Label for wh en a gun turret is set to be controlled by (slaved to) an external sensor.,SLAVED,SLAVED
gunTurret_gimbal,Option title for gun turrets' gimbal (rotation/aiming) to be locked or slaved.,GIMBAL,GIMBAL
gunTurret_speedlock,Label when gun turret is locked due to overspeed,SPEEDLOCK,VELOCITA' BLOCCATO
AIRS-T Advanced SRM x3_fullName,Full equip name of: AIRS-T Advanced SRM x3,AIRS-T Advanced SRM x3,AIRS-T Advanced SRM x3
AIRS-T Advanced SRM x3_description,Item description of: AIRS-T Advanced SRM x3,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.
Advanced technology allows it to intercept incoming missiles.","Missile aria-aria a ricerca di calore a corto raggio con thrust vectoring, migliore manovrabilità, raggio, e sistema di contro-contromisure.
La tecnologia avanzata gli permette di intercettare i missili in arrivo."
AGM-145 Ballista x4_fullName,Full equip name of: AGM-145 Ballista x4,AGM-145 Ballista x4,AGM-145 Ballista x4
AGM-145 Ballista x4_description,Item description of: AGM-145 Ballista x4,"Small anti-tank missiles with advanced optics, ""fire and forget"", and smart self-targeting technology. Can be fired without line of sight to the designated target point, and will acquire hostile targets automatically.","Piccolo missile anti-carro con ottiche avanzate, ""spara-e-dimentica"", e tecnologia di auto-puntamento. Può essere sparato senza la lina visiva sul bersaglio, e acquisirà il bersaglio ostile automaticamente."
eqSublabel_OPTICAL-FAF,HUD sub-label of an equip,OPTICAL FAF,FAF OTTICO
tutName_Hover Tutorial,Name of a legacy tutorial objective,Hover Tutorial,Addestramento Hover
tutDesc_Hover Tutorial,Description of a legacy tutorial,Learn to hover.,Impara a hoverare.
tut:Hover Tutorial:Intro10,A tutorial label,Welcome to the hover tutorial.,Benvenuto all'addestramento sull' hover.
tut:Hover Tutorial:Intro21,A tutorial label,We'll begin with the start-up sequence.,Iniziamo con la sequenza di accensione.
tut:Hover Tutorial:Brake Lock2,A tutorial label,Enable Brake Lock,Abilita il freno di parcheggio.
tut:Hover Tutorial:Enable battery3,A tutorial label,Enable Battery,Accendi la batteria
tut:Hover Tutorial:start up apu4,A tutorial label,Start APU,avvia l'APU
tut:Hover Tutorial:wait spool apu5,A tutorial label,Let the APU spool up,Lascia che L'APU vada in regime
tut:Hover Tutorial:StartLeftEngine6,A tutorial label,Start Left Engine,Avvia motore sinistro
tut:Hover Tutorial:StartRightEngine7,A tutorial label,Start Right Engine,Avvia motore destro
tut:Hover Tutorial:Flaps8,A tutorial label,Set flaps to full,Flaps al massimo
tut:Hover Tutorial:WaitSpool9,A tutorial label,Wait for the engines to spool up.,Aspetta che i motori vadano in regime.
tut:Hover Tutorial:NoNeedAPU10,A tutorial label,The engines are now supplying power.  We can turn off the APU.,I motori ora stanno dando corrente. Possiamo spegnere l'APU.
tut:Hover Tutorial:TurnOffAPU11,A tutorial label,Turn off APU.,Spegni l'APU.
tut:Hover Tutorial:EnableHUD12,A tutorial label,Turn on the HUD,Accendi l'HUD
tut:Hover Tutorial:EnableMFD113,A tutorial label,Turn on the MFDs,Accendi gli MFD
tut:Hover Tutorial:EnableMFD214,A tutorial label,Turn on the MFDs,Accendi gli MFD
tut:Hover Tutorial:EnableMFD315,A tutorial label,Turn on the MFDs,Accendi gli MFD
tut:Hover Tutorial:GrabJoy16,A tutorial label,Grab the joystick.,Prendi lo stick
tut:Hover Tutorial:GrabThrottle17,A tutorial label,Grab the throttle.,Prendi la manetta
tut:Hover Tutorial:SetTilt18,A tutorial label,Set the engine tilt to 90,Imposta l'inclinazione del motore a 90
tut:Hover Tutorial:LiftOff19,A tutorial label,Slowly lift the throttle until you take off.,Lentamente aumenta la manetta fino a che non decolli
tut:Hover Tutorial:MaintainAttitude20,A tutorial label,Try to keep your nose level with the horizon.,Prova a mantenere il muso livellato all'orizzonte
tut:Hover Tutorial:ClimbAltitude21,A tutorial label,Slowly climb to 100m altitude.,Sali lentamente a una altitudine di 100m
tut:Hover Tutorial:Hover22,A tutorial label,Adjust throttle to maintain zero vertical speed.,Aggiusta la manetta per mantenere velocità verticale 0
tut:Hover Tutorial:CancelLaterals23,A tutorial label,Cancel lateral speed by rolling or pitching slightly in the opposite direction.,Cancella il movimento laterale rollando o muovendo il muso nella direzione opposta al movimento.
tut:Hover Tutorial:HoldPos24,A tutorial label,Try to hold this position for a few moments.,Prova a mantenere questa posizioni per alcuni istanti.
tut:Hover Tutorial:DescendTime25,A tutorial label,Now lets try to land.,Ora proviamo ad atterrare.
tut:Hover Tutorial:Descend26,A tutorial label,Adjust throttle to slowly descend at about -6 m/s,Aggiusta la manetta per scendere lentamente a -6 m/s
tut:Hover Tutorial:PrepareForImpact27,A tutorial label,Throttle up to about -2 m/s,dai manetta per -2 m/s
tut:Hover Tutorial:PostLand28,A tutorial label,Throttle down!,Giù la manetta!
tut:Hover Tutorial:Complete29,A tutorial label,Tutorial complete! Good job!,Addestramento completato! Ottimo lavoro!
4000L Fuel Drop Tank_fullName,Full equip name of: 4000L Fuel Drop Tank,4000L Fuel Drop Tank,Tanica 4000L
4000L Fuel Drop Tank_description,Item description of: 4000L Fuel Drop Tank,A 4000 liter detachable external fuel tank.,Una tanica esterna sganciabile da 4000 litri
ASF-SRM x1_fullName,Full equip name of: ASF-SRM x1,ASF-SRM x1,ASF-SRM x1
ASF-SRM x1_description,Item description of: ASF-SRM x1,A standard heat-seeking anti-air missile.,Un missile aria aria a ricerca di calore.
GBU-38 Bomb x2_fullName,Full equip name of: GBU-38 Bomb x2,GBU-38 Bomb x2,GBU-38 Bomb x2
GBU-38 Bomb x2_description,Item description of: GBU-38 Bomb x2,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,Munizione di attacco diretto a guida GPS da 500lb. E' una bomba Mk.82 con un pacchetto di guida installato.
AIM-9 Sidewinder x2_fullName,Full equip name of: AIM-9 Sidewinder x2,AIM-9 Sidewinder x2,AIM-9 Sidewonder x2
AIM-9 Sidewinder x2_description,Item description of: AIM-9 Sidewinder x2,A rack of two standard heat-seeking Sidewinder anti-air missiles.,Un pilone di 2 missili aria-aria a ricerca di calore standard.
eqSublabel_IR-AAM,HUD sub-label of an equip,IR AAM,IR AAM
GBU-38 Bomb x1_fullName,Full equip name of: GBU-38 Bomb x1,GBU-38 Bomb x1,GBU-38 Bomb x1
GBU-38 Bomb x1_description,Item description of: GBU-38 Bomb x1,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,Munizione di attacco diretto a guida GPS da 500lb. E' una bomba Mk.82 con un pacchetto di guida installato.
menu_back,"General ""back"" button for menus.",Back,Indietro
mpmm_members,Title for multiplayer members management menu.,Members,Membri
mpmm_toggleMute,Toggle muting player voice,Toggle mute,Attiva/Disattiva muto
mpmm_kick,Kick member button,Kick,Espelli
mpmm_ban,Ban member button,Ban,Banna
mpmm_block,Block member button,Block,Blocca
scrollbar,UI Scrollbar interactable,Scroll,Scorri
okay,,Okay,Okay
cancel,,Cancel,Cancella
mpmm_inviteMenuButton,Button to open the invite friends menu,Invite friends,Invita amici
mpmm_inviteFriendsTitle,Invite menu title,Invite friends,Invita amici
mpmm_invited,Label to show that a friend has been invited.,Invited,Invitato
mpmm_invite,Button to invite this friend.,Invite,Invita
s_cms_rate_single,CMS release rate - single fire mode,Single,Singolo
s_cms_rMode_0,CMS release mode,Single Auto,Singolo Auto
s_cms_rMode_1,CMS release mode,Single L,Singolo L
s_cms_rMode_2,CMS release mode,Single R,Singolo R
s_cms_rMode_3,CMS release mode,Double,Doppio
tutName_Getting Started,Name of a legacy tutorial objective,Getting Started,Le basi
tutDesc_Getting Started,Description of a legacy tutorial,Complete the intro tutorial.,Completa il Tutorial.
tut:Getting Started:Intro10,A tutorial label,Welcome to the AV-42C,Benvenuto sull' AV-42C
tut:Getting Started:Intro21,A tutorial label,"First, let's keep the bird from rolling away.","Per prima cosa, evitiamo di rullare via."
tut:Getting Started:Brake Lock2,A tutorial label,Enable Brake Lock,Ingaggia il freno di parcheggio
tut:Getting Started:Startup3,A tutorial label,Now lets move on to the start-up sequence.,ora iniziamo la sequenza di accensione
tut:Getting Started:Enable battery4,A tutorial label,Enable Battery,Accendi la batteria
tut:Getting Started:start up apu5,A tutorial label,Start APU,Avvia l'APU
tut:Getting Started:wait spool apu6,A tutorial label,Let the APU spool up a bit.,Lascia che l'APU vada in regime
tut:Getting Started:StartLeftEngine7,A tutorial label,Start Left Engine,Avvia il motore sinistro
tut:Getting Started:StartRightEngine8,A tutorial label,Start Right Engine,Avvia il motore destro
tut:Getting Started:WaitSpool9,A tutorial label,Wait for the engines to spool up.,Aspetta che i motori vadano in regime.
tut:Getting Started:NoNeedAPU10,A tutorial label,The engines are now supplying power.  We can turn off the APU.,Ora i motori forniscono potenza. possiamo staccare l'APU
tut:Getting Started:TurnOffAPU11,A tutorial label,Turn off APU.,Spegni l'APU
tut:Getting Started:EnableHUD12,A tutorial label,Turn on the HUD,Accendi l'HUD
tut:Getting Started:HUDInfo13,A tutorial label,"The HUD (Heads-Up Display) shows you attitude, altitude, velocity, targeting reticles, and other important flight data at a glance.","L'HUD (Heads-Up Display) ti mostra quota, velocità, attitudine, mirini di puntamento, e altri dati di volo importanti in un solo sguardo."
tut:Getting Started:EnableMFD114,A tutorial label,Turn on the MFD 1,Accendi MFD 1
tut:Getting Started:EnableMFD215,A tutorial label,Turn on the MFD 2,Accendi MFD 2
tut:Getting Started:EnableMFD316,A tutorial label,Turn on the MFD 3,Accendi MFD 3
tut:Getting Started:MFD info17,A tutorial label,The MFDs (Multi-Function Displays) give you access to,Gli MFDs (Multi-Function Displays) ti danno accesso a
tut:Getting Started:MFD info 218,A tutorial label,"aircraft features such as weapon configuration, navigation maps,","funzioni dell'aereo come configurazione delle armi, mappe di navigazione,"
tut:Getting Started:MFD info 319,A tutorial label,"sensors, etc.  You can access these features by pressing the corresponding buttons around the edge of the monitor.","sensori, etc. Puoi anche accedere a queste funzioni premendo i corrispondenti tasti sul bordo del monitor."
tut:Getting Started:ReadyToFly20,A tutorial label,The vehicle is now ready to fly.  Up next: Basic Flight,Il veicolo è ora pronto al volo. Prossimamente: Volo Basico
s_endMission_quickload,Label for quickload button in end-mission display 'Quick Load (x mins ago)',Quick Load,Caricamento Rapido
s_endMission_dumpedLog,Label for end-mission entry when flight log is saved to disk.,Dumped flight log,Registro Salvato
vpdt_ContinueFlightText,[xxx] tags will be replaced by platform specific controls. Keep them.,"Continue Flight
(Press [menu] to return to this screen)","Continua Volo
(Premi [menu] per tornare a questa schermata)"
hud_noArm,A short HUD label when no weapons are armed.,NO ARM,NO ARM
s_newObj,Objective popup message in HUD,NEW OBJECTIVE,NUOVO OBIETTIVO
s_objComplete,Objective popup message in HUD,OBJECTIVE COMPLETE,OBIETTIVO COMPLETATO
s_objFailed,Objective popup message in HUD,OBJECTIVE FAILED,OBIETTIVO FALLITO
commReply_s_comm_reply,A text reply in the communications menu.,REPLY:,RISPOSTA:
commReply_s_noHostilesFound,A text reply in the communications menu.,No hostiles found.,Nessun ostile trovato.
commReply_s_awacsNotReady,A text reply in the communications menu.,AWACS is not ready to report.,AWACS non pronto a riportare.
commReply_s_noAwacsAvailable,A text reply in the communications menu.,No AWACS available,Nessun AWACS disponibile
commReply_s_awacsPicRequested,A text reply in the communications menu.,AWACS picture requested,Picture AWACS richiesta
commReply_s_awacsRequestedRTB,A text reply in the communications menu.,Requested RTB vector from AWACS,Richiesto vettore RTB dall'AWACS
s_hostile,Prefix for AWACS bogey dope response,Hostile,Ostile
commReply_s_rearmingNotAvailable,A text reply in the communications menu.,Rearming not available.,Riarmo non disponibile.
commReply_s_notAtRearmingStation,A text reply in the communications menu.,Not at a rearming station. Return to base.,Non ad una stazione di riarmo. Ritorna alla base.
commReply_s_turnOffEngines,A text reply in the communications menu.,Please turn off your engines.,Per favore spegni i tuoi motori.
commReply_s_disarmWeapons,A text reply in the communications menu.,Please disarm your weapon system.,Per favore disarma il tuo sistema d'armi.
commReply_s_unhookTailhook,A text reply in the communications menu.,Please disengage your arrestor hook.,per favore tira su il gancio d'arresto.
commReply_s_rearmPointOccupied,A text reply in the communications menu.,This station is occupied!,Questa stazione è occupata!
commReply_s_taxiToRearm,A text reply in the communications menu.,Please taxi to a rearming station.,Per favore rulla a una stazione di riarmo.
commReply_s_wingmenBusy,A text reply in the communications menu.,Your wingmen are busy.,I tuoi gregari sono occupati.
commReply_s_someWingmenBusy,A text reply in the communications menu.,Some of your wingmen are busy.,Alcuni dei tuoi gregari sono occupati.
commReply_s_noWingmen,A text reply in the communications menu.,You have no wingmen.,Non hai gregari.
commReply_s_wingmenOrbiting,A text reply in the communications menu.,Wingmen orbiting here.,Gregario orbita qui.
commReply_s_wingmenEngaging,A text reply in the communications menu.,Wingmen engaging targets at will!,Gregario ingaggia bersagli a volontà!
commReply_s_wingmenDisengaging,A text reply in the communications menu.,Wingmen disengaging from combat!,Gregario disingaggia dal combattimento!
commReply_s_wingmenFormationSpread,A text reply in the communications menu.,Wingmen setting formation spread.,Gregario imposta velocità di formazione.
commReply_s_wingman,A text reply in the communications menu.,Wingman,Gregario
