Key,Description,en,it
PrevSettingsPageButton_745814,VR Interactable,Prev Page,pagina Precedente
ApplySettingsButton_740876,VR Interactable,Apply Settings,Applica Impostazioni
RevertSettingsButton_745510,VR Interactable,Revert Settings,Annulla Impostazioni
Text_744170,UI Text,Revert,Annulla
Text_743510,UI Text,Close,Chiudi
BindingsButton_740066,VR Interactable,Open Bindings Menu,Apri Menu Controlli
Text_746038,UI Text,Bindings,Controlli
OpenWingmenButton_742898,VR Interactable,Wingman Voices,Voci Wingman
GameCat_692110,VR Interactable,Game,Gioco
ControlsCat_696240,VR Interactable,Controls,Controlli
AudioCat_692816,VR Interactable,Audio,Audio
VideoCat_695570,VR Interactable,Video,Video
MiscCat_691360,VR Interactable,Miscellaneous,Varie
Text_691290,UI Text,Misc,Misc
Image_746964,VR Interactable,Toggle Voice,Attiva/Disattiva Voce
SampleButton_741706,VR Interactable,Play Sample,Riproduci Sample
SettingsTitle_746874,UI Text,Input binding,Input Comandi
ActionLabel_743972,UI Text,Action,Azione
ControllerLabel_740058,UI Text,Controller,Controller
AxisLabel_740550,UI Text,Axis,Asse
SelectCtrlr_744404,UI Text,Select a controller,Seleziona un controller
BindingsButton_745912,VR Interactable,Bind,Abbina
Text_742080,UI Text,Bind,Abbina
NextCtrlrButton_745738,VR Interactable,Next Controller,Prossimo Controller
PrevCtrlrButton_747542,VR Interactable,Previous Controller,Controller Precedente
TestLabel_744460,UI Text,Axis Test,Test Assi
ClearButton_744128,VR Interactable,Clear Binding,Rimuovi Abbinamento
Text_742294,UI Text,Clear,Rimuovi
InvertButton_731022,VR Interactable,Invert Axis,Inverti Asse
Text_724774,UI Text,Invert,Inverti
Text_746160,UI Text,Apply,Applica
Title_744764,UI Text,Launch Editor?,Lancia Editor?
Title (1)_740936,UI Text,The mission editor will run on your monitor.,L'editor di missione andrà sul monitor.
OkayButton_742216,VR Interactable,Launch Editor,Lancia Editor
BackButton_507224,VR Interactable,Back to Main Menu,Torna al Menu
Title (1)_740580,UI Text,The map editor will run on your monitor.,L'editor mappe andrà sul monitor.
